imagem,nome,preco,categoria,promocao,destaque,ativo
produtos/casco_heiniken_600.png,casco heiniken 600,2.00,Geral,FALSE,FALSE,TRUE
produtos/catchup_quero_400g.png,catchup quero 400g,10.50,Geral,FALSE,FALSE,TRUE
produtos/catuaba_duelo_920ml.png,Catuaba Duelo 920ml,9.00,Geral,FALSE,FALSE,TRUE
produtos/catupinga_900ml.png,catupinga 900ml,23.50,Geral,FALSE,FALSE,TRUE
produtos/cereser.png,cereser,24.00,Geral,FALSE,FALSE,TRUE
produtos/cheetos_105g.png,cheetos 105g,11.00,Geral,FALSE,FALSE,TRUE
produtos/cheetos_mix.png,cheetos mix,4.00,Geral,FALSE,FALSE,TRUE
produtos/cheetos_requeijão_45g.png,Cheetos requeijão 45g,4.00,Geral,FALSE,FALSE,TRUE
produtos/chiclete_olho_terror_zone.png,chiclete olho terror zone,0.50,Geral,FALSE,FALSE,TRUE
produtos/chiclete_plutonita_dentada_ardente.png,chiclete plutonita dentada ardente,0.50,Geral,FALSE,FALSE,TRUE
produtos/chiclete_poosh_vermelho.png,chiclete poosh vermelho,0.25,Geral,FALSE,FALSE,TRUE
produtos/chipa_ou_pao_de_queijo.png,chipa ou pao de queijo,23.00,Geral,FALSE,FALSE,TRUE
produtos/chocomoça_premium.png,chocomoça premium,2.50,Geral,FALSE,FALSE,TRUE
produtos/chumichurri.png,chumichurri,8.00,Geral,FALSE,FALSE,TRUE
produtos/ciclete_poosh_rosa.png,ciclete poosh rosa,0.25,Geral,FALSE,FALSE,TRUE
produtos/ciclete_poosh_verde.png,ciclete poosh verde,0.25,Geral,FALSE,FALSE,TRUE
produtos/cigarro_camel_amarelo.png,cigarro Camel amarelo,7.00,Geral,FALSE,FALSE,TRUE
produtos/cigarro_camel_berry_cereja.png,cigarro camel berry cereja,7.00,Geral,FALSE,FALSE,TRUE
produtos/cigarro_camel_blue.png,cigarro Camel blue,7.00,Geral,FALSE,FALSE,TRUE
produtos/cigarro_camel_double.png,cigarro Camel double,7.00,Geral,FALSE,FALSE,TRUE
produtos/cigarro_chesterfield_original_azul.png,cigarro Chesterfield original azul,8.50,Geral,FALSE,FALSE,TRUE
produtos/cigarro_chesterfield_original_laranja.png,cigarro Chesterfield original laranja,8.50,Geral,FALSE,FALSE,TRUE
produtos/cigarro_chesterfield_remix_beats_melancia.png,cigarro Chesterfield remix beats melancia,9.50,Geral,FALSE,FALSE,TRUE
produtos/cigarro_chesterfield_remix_blossom_(rosa).png,cigarro Chesterfield remix blossom (rosa),9.50,Geral,FALSE,FALSE,TRUE
produtos/cigarro_chesterfield_remix_wild_(roxo).png,cigarro Chesterfield remix wild (roxo),9.50,Geral,FALSE,FALSE,TRUE
produtos/cigarro_chesterfield_terras_amarelo.png,cigarro Chesterfield terras amarelo,7.50,Geral,FALSE,FALSE,TRUE
produtos/cigarro_chesterfield_terras_azul.png,cigarro Chesterfield terras azul,7.50,Geral,FALSE,FALSE,TRUE
produtos/cigarro_dunhill_blue.png,cigarro Dunhill blue,11.50,Geral,FALSE,FALSE,TRUE
produtos/cigarro_dunhill_blue_blend_2.0.png,cigarro Dunhill blue blend 2.0,13.75,Geral,FALSE,FALSE,TRUE
produtos/cigarro_dunhill_carlto_blend_2.0.png,cigarro Dunhill CARLTO BLEND 2.0,13.75,Geral,FALSE,FALSE,TRUE
produtos/cigarro_dunhill_ice_boost.png,cigarro Dunhill ice boost,11.50,Geral,FALSE,FALSE,TRUE
produtos/cigarro_dunhill_red.png,cigarro Dunhill RED,11.50,Geral,FALSE,FALSE,TRUE
produtos/cigarro_fox.png,cigarro fox,4.00,Geral,FALSE,FALSE,TRUE
produtos/cigarro_lucky_strike_fresh_ice.png,cigarro Lucky Strike fresh ice,11.50,Geral,FALSE,FALSE,TRUE
produtos/cigarro_marlboro_forest_fusion.png,cigarro Marlboro forest fusion,13.50,Geral,FALSE,FALSE,TRUE
produtos/cigarro_marlboro_gold_maço.png,cigarro Marlboro gold maço,11.25,Geral,FALSE,FALSE,TRUE
produtos/cigarro_marlboro_ice_burt.png,cigarro Marlboro ice burt,13.50,Geral,FALSE,FALSE,TRUE
produtos/cigarro_marlboro_tropical_fusion.png,cigarro Marlboro tropical fusion,13.50,Geral,FALSE,FALSE,TRUE
produtos/cigarro_marlboro_vermelho_maço.png,cigarro Marlboro vermelho maço,11.25,Geral,FALSE,FALSE,TRUE
produtos/cigarro_rothmans_blue_box.png,cigarro rothmans blue box,8.75,Geral,FALSE,FALSE,TRUE
produtos/cigarro_rothmans_global.png,cigarro Rothmans global,7.50,Geral,FALSE,FALSE,TRUE
produtos/cigarro_rothmans_internacional_blue.png,cigarro rothmans internacional blue,10.00,Geral,FALSE,FALSE,TRUE
produtos/cigarro_sampoerna_menthol.png,cigarro Sampoerna menthol,16.00,Geral,FALSE,FALSE,TRUE
produtos/closeup_mentol.png,closeup mentol,6.50,Geral,FALSE,FALSE,TRUE
produtos/coca_2l.png,coca 2l,13.00,Geral,FALSE,FALSE,TRUE
produtos/coca_600ml.png,coca 600ml,6.00,Geral,FALSE,FALSE,TRUE
produtos/coca_cola_1.5_l_zero.png,coca cola 1.5 l zero,11.00,Geral,FALSE,FALSE,TRUE
produtos/coca_cola_1/.png,coca cola 1/,4.50,Geral,FALSE,FALSE,TRUE
produtos/coca_cola_600ml_zero.png,coca cola 600ml zero,6.00,Geral,FALSE,FALSE,TRUE
produtos/coca_cola_lata_350ml.png,coca cola lata 350ml,4.50,Geral,FALSE,FALSE,TRUE
produtos/coca_cola_pet-1.5l.png,Coca Cola Pet-1.5L,11.00,Geral,FALSE,FALSE,TRUE
produtos/coca_cola_zero_269ml.png,coca cola zero 269ml,3.50,Geral,FALSE,FALSE,TRUE
produtos/coca_cola_zero_2l.png,coca cola zero 2l,13.00,Geral,FALSE,FALSE,TRUE
produtos/coca_cola_zero_350ml.png,coca cola zero 350ml,4.50,Geral,FALSE,FALSE,TRUE
produtos/coca_lt_220ml.png,Coca LT 220ml,3.50,Geral,FALSE,FALSE,TRUE
produtos/coca-cola_pet_3l.png,COCA-COLA PET 3L,16.00,Geral,FALSE,FALSE,TRUE
produtos/coco_ralado_mais_coco_50g.png,Coco ralado mais coco 50g,4.00,Geral,FALSE,FALSE,TRUE
